Genero,A̱o_Lanzamiento,playtime_forever
Action,1983,3582
Action,1984,384
Action,1988,16243
Action,1989,607
Action,1990,5
Action,1991,2203
Action,1992,1925
Action,1993,11487
Action,1994,39862
Action,1995,64605
Action,1996,51726
Action,1997,271013
Action,1998,2794545
Action,1999,2712695
Action,2000,18553775
Action,2001,1255120
Action,2002,725264
Action,2003,9906989
Action,2004,130469301
Action,2005,5670622
Action,2006,6856912
Action,2007,11277605
Action,2008,27861445
Action,2009,154187567
Action,2010,105698399
Action,2011,303958972
Action,2012,1021504063
Action,2013,396536510
Action,2014,132883113
Action,2015,167729321
Action,2016,62970783
Action,2017,126299093
Action,2018,2224
Adventure,1983,3582
Adventure,1984,384
Adventure,1986,5100
Adventure,1988,30241
Adventure,1989,5691
Adventure,1990,1043
Adventure,1991,1865
Adventure,1992,4327
Adventure,1993,24657
Adventure,1994,14817
Adventure,1995,3553
Adventure,1996,87688
Adventure,1997,19992
Adventure,1998,26128
Adventure,1999,3189
Adventure,2000,102801
Adventure,2001,47511
Adventure,2002,179470
Adventure,2003,2227845
Adventure,2004,6113
Adventure,2005,172493
Adventure,2006,119581
Adventure,2007,135172
Adventure,2008,1932204
Adventure,2009,712912
Adventure,2010,15651635
Adventure,2011,221512635
Adventure,2012,42576533
Adventure,2013,132664215
Adventure,2014,44925541
Adventure,2015,160181310
Adventure,2016,53990019
Adventure,2017,92253081
Adventure,2018,21
Animation &amp; Modeling,2013,140201
Animation &amp; Modeling,2014,37206
Animation &amp; Modeling,2015,198074
Animation &amp; Modeling,2016,90
Audio Production,2014,65447
Audio Production,2015,4709
Audio Production,2016,273
Casual,1983,3582
Casual,1984,384
Casual,1986,5100
Casual,1991,1355
Casual,1993,10627
Casual,1994,10572
Casual,1995,3177
Casual,1996,13065
Casual,1997,2126
Casual,1998,12088
Casual,1999,637256
Casual,2000,50270
Casual,2001,2344
Casual,2002,61625
Casual,2003,2536
Casual,2004,13190
Casual,2005,39653
Casual,2006,140271
Casual,2007,571778
Casual,2008,351224
Casual,2009,798770
Casual,2010,3469074
Casual,2011,4284785
Casual,2012,13134385
Casual,2013,9253906
Casual,2014,20745929
Casual,2015,80062992
Casual,2016,42764781
Casual,2017,51633542
Design &amp; Illustration,2012,1947406
Design &amp; Illustration,2014,97161
Design &amp; Illustration,2015,368216
Design &amp; Illustration,2016,1299
Early Access,2012,14924
Early Access,2013,120366296
Early Access,2014,9994951
Early Access,2015,13684488
Early Access,2016,7200067
Early Access,2017,53053
Early Access,2018,6128
Education,2013,140060
Education,2014,0
Education,2015,36030
Education,2016,480
Education,2017,9713
Free to Play,1996,127
Free to Play,1999,635875
Free to Play,2001,4965
Free to Play,2003,5701005
Free to Play,2005,67388
Free to Play,2006,2595634
Free to Play,2007,162208
Free to Play,2008,216903
Free to Play,2009,2377512
Free to Play,2010,8059497
Free to Play,2011,40935455
Free to Play,2012,98541053
Free to Play,2013,145641730
Free to Play,2014,36826548
Free to Play,2015,100769474
Free to Play,2016,9243158
Free to Play,2017,85619205
Indie,1986,5100
Indie,1988,13998
Indie,1995,3177
Indie,1996,570
Indie,1997,64814
Indie,1998,19958
Indie,1999,635875
Indie,2000,5304
Indie,2001,89280
Indie,2002,38748
Indie,2003,2160287
Indie,2004,12453
Indie,2005,338512
Indie,2006,451424377
Indie,2007,1170749
Indie,2008,2093818
Indie,2009,2744150
Indie,2010,7556956
Indie,2011,225701367
Indie,2012,90682019
Indie,2013,175708659
Indie,2014,79803052
Indie,2015,135711717
Indie,2016,73660568
Indie,2017,127229395
Indie,2018,2327
Massively Multiplayer,2003,5701005
Massively Multiplayer,2007,98114
Massively Multiplayer,2008,104548
Massively Multiplayer,2009,2055759
Massively Multiplayer,2010,7515934
Massively Multiplayer,2011,32051603
Massively Multiplayer,2012,84715641
Massively Multiplayer,2013,134942077
Massively Multiplayer,2014,21989953
Massively Multiplayer,2015,37857618
Massively Multiplayer,2016,5796233
Massively Multiplayer,2017,62573381
Photo Editing,2006,173
Photo Editing,2015,569
Photo Editing,2016,502
RPG,1986,5100
RPG,1988,13998
RPG,1991,20
RPG,1992,2164
RPG,1996,7170
RPG,1997,1389
RPG,1999,318540
RPG,2000,53773
RPG,2001,83994
RPG,2002,191620
RPG,2003,5873429
RPG,2004,19595
RPG,2005,617181
RPG,2006,106904
RPG,2007,1185074
RPG,2008,6087288
RPG,2009,19295281
RPG,2010,52856565
RPG,2011,222475318
RPG,2012,141979270
RPG,2013,126016289
RPG,2014,60189761
RPG,2015,147833590
RPG,2016,47847226
RPG,2017,66649532
RPG,2018,3822
Racing,1994,289
Racing,1995,31220
Racing,1996,1202
Racing,1997,9319
Racing,1998,15131
Racing,1999,32
Racing,2000,3015
Racing,2003,374
Racing,2004,3477
Racing,2005,215167
Racing,2006,54768
Racing,2007,536280
Racing,2008,272092
Racing,2009,2243028
Racing,2010,781559
Racing,2011,2076523
Racing,2012,371137
Racing,2013,2397602
Racing,2014,2680378
Racing,2015,1862080
Racing,2016,3649028
Racing,2017,90735
Simulation,1986,5100
Simulation,1987,0
Simulation,1988,1
Simulation,1989,5084
Simulation,1990,1926
Simulation,1991,144
Simulation,1992,11
Simulation,1993,65
Simulation,1994,5487
Simulation,1995,980
Simulation,1996,1918
Simulation,1998,12189
Simulation,1999,14683
Simulation,2000,13631
Simulation,2001,275913
Simulation,2002,253969
Simulation,2003,6419
Simulation,2004,89641
Simulation,2005,94590
Simulation,2006,450084497
Simulation,2007,1259077
Simulation,2008,896980
Simulation,2009,12242668
Simulation,2010,41829548
Simulation,2011,4943079
Simulation,2012,28069409
Simulation,2013,107013937
Simulation,2014,30969092
Simulation,2015,90834951
Simulation,2016,34983668
Simulation,2017,24724239
Simulation,2018,2203
Software Training,2014,0
Software Training,2015,36013
Software Training,2016,480
Software Training,2017,9713
Sports,1995,31220
Sports,2005,69758
Sports,2007,1308
Sports,2008,98946
Sports,2009,228197
Sports,2010,2000621
Sports,2011,926764
Sports,2012,948031
Sports,2013,4956797
Sports,2014,4189980
Sports,2015,4291655
Sports,2016,4737386
Sports,2017,22873
Strategy,1988,13998
Strategy,1990,60
Strategy,1991,209
Strategy,1993,187144
Strategy,1994,140
Strategy,1995,5410
Strategy,1996,8568
Strategy,1997,134989
Strategy,1998,25203
Strategy,1999,329959
Strategy,2000,5481
Strategy,2001,376659
Strategy,2002,290702
Strategy,2003,5888220
Strategy,2004,581852
Strategy,2005,253238
Strategy,2006,3683704
Strategy,2007,599106
Strategy,2008,2534074
Strategy,2009,14163416
Strategy,2010,49430144
Strategy,2011,46207337
Strategy,2012,65213546
Strategy,2013,109625081
Strategy,2014,40102218
Strategy,2015,78005588
Strategy,2016,24284176
Strategy,2017,5929372
Utilities,2006,173
Utilities,2012,6328
Utilities,2013,140060
Utilities,2014,2311054
Utilities,2015,450367
Utilities,2016,14955
Utilities,2017,9713
Video Production,2006,173
Video Production,2014,94754
Video Production,2015,162923
Video Production,2016,1525
Web Publishing,2005,93847
Web Publishing,2012,1947406
Web Publishing,2013,140060
Web Publishing,2015,332496
Web Publishing,2016,1
Web Publishing,2017,9713
